"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7531345990947851551","July 26","1837","50","6","30504"
"February 28","@Unbrush #unbrush #unbrushplus #unbrushhairbrush ","https://www.tiktok.com/@haileytupy2.0/video/7527623000473079054","July 16","533","32","16","191265"
"February 28","That loop is CLOSED 😭 #tiktokshoppilotprogram #tiktokshopaffiliate #tiktokshopaffiliateprogram ","https://www.tiktok.com/@haileytupy2.0/video/7531173155130445111","July 25","45","41","5","545"
"February 28","If we can get 37 moms to buy the same snack tray, we can boost each other’s videos too 💅 #MomTokSupport #MomsOnTikTok #CostcoEnergy #momsupportingmoms #momcontentcreator #momcontent #smallmomcontentcreator ","https://www.tiktok.com/@haileytupy2.0/video/7505370142814080287","May 17","113","48","21","1368"
"February 28","just a girl with big dreams!! #girlssupportgirls #delulu #contentcreator #momssupportingmoms #5k #newcontentcreator ","https://www.tiktok.com/@haileytupy2.0/video/7508389481419001119","May 25","108","35","10","5347"
"February 28","Being a TikTok shop affiliate has been a journey!!! Im nowhere near where I want to be, but I’m choosing to keep going. If youre struggling, know you’re not alone! Give me a follow and let’s cheer each other on!  #tiktokshop #TikTokShop #tiktokaffiliate #tiktoktips #tiktokshoptips #content #contentcreator ","https://www.tiktok.com/@haileytupy2.0/video/7506601096484326698","May 20","81","49","14","622"
"February 28","BUXOM PLUMPING LIP GLOSS 🚨UP TO 47% OFF + COUPONS🚨","https://www.tiktok.com/@haileytupy2.0/video/7558173591414607117","October 6","29","0","0","104"
"February 28","Just looking to hit that 5k to get out of the TikTok shop pilot program. Anyone want to help me out with a follow?!? #teamwork #roadto5kfollowers💕 #momtok #momtiktok ","https://www.tiktok.com/@haileytupy2.0/video/7519576629945863437","June 24","65","17","3","1872"
"February 28","If we hyped each other up here like we do in restaurant bathrooms, we’d all be crushing our goals.  If you’re seeing this post, know I’ve got your back 🩷  #womensupportingwomen #momssupportingmoms #womencontentcreators #womenoftiktok ","https://www.tiktok.com/@haileytupy2.0/video/7516725027274820878","June 16","116","45","11","3148"
"February 28","Might not seem like much, but it's progress! #millennialmom #manifest #girlssupportgirls #roadto5k ","https://www.tiktok.com/@haileytupy2.0/video/7514632980762037547","June 11","66","41","7","486"
"February 28","WE are all growing together. This app can change someone's life. Let's keep pushing! I’m on the road to 5K, who’s with me?! ?#typ #fyp: #TikTokShop #creatorpilotprogram #roadto5k #roadto5kfollowers💕 ","https://www.tiktok.com/@haileytupy2.0/video/7514782545066659103","June 11","61","17","3","313"
"February 28","Replying to @michelle’s must haves #tiktokshop #tiktokshoppilotprogram #tiktokshopaffiliate #tiktokshopaffiliateprogram ","https://www.tiktok.com/@haileytupy2.0/video/7531793831201606942","July 27","60","17","6","1480"