"Date","Hour","Active followers"
"February 21","0","491"
"February 21","1","364"
"February 21","2","310"
"February 21","3","323"
"February 21","4","324"
"February 21","5","417"
"February 21","6","611"
"February 21","7","874"
"February 21","8","1053"
"February 21","9","1075"
"February 21","10","1128"
"February 21","11","1092"
"February 21","12","1128"
"February 21","13","1142"
"February 21","14","1153"
"February 21","15","1093"
"February 21","16","1103"
"February 21","17","1091"
"February 21","18","1061"
"February 21","19","1086"
"February 21","20","1100"
"February 21","21","1000"
"February 21","22","804"
"February 21","23","649"
"February 22","0","458"
"February 22","1","366"
"February 22","2","326"
"February 22","3","301"
"February 22","4","318"
"February 22","5","409"
"February 22","6","602"
"February 22","7","842"
"February 22","8","1048"
"February 22","9","1079"
"February 22","10","1124"
"February 22","11","1105"
"February 22","12","1207"
"February 22","13","1204"
"February 22","14","1213"
"February 22","15","1157"
"February 22","16","1123"
"February 22","17","1144"
"February 22","18","1127"
"February 22","19","1146"
"February 22","20","1171"
"February 22","21","1042"
"February 22","22","817"
"February 22","23","564"
"February 23","0","434"
"February 23","1","343"
"February 23","2","309"
"February 23","3","290"
"February 23","4","349"
"February 23","5","523"
"February 23","6","739"
"February 23","7","930"
"February 23","8","1019"
"February 23","9","1090"
"February 23","10","1139"
"February 23","11","1184"
"February 23","12","1208"
"February 23","13","1256"
"February 23","14","1281"
"February 23","15","1272"
"February 23","16","1230"
"February 23","17","1150"
"February 23","18","1163"
"February 23","19","1239"
"February 23","20","1197"
"February 23","21","1021"
"February 23","22","750"
"February 23","23","581"
"February 24","0","395"
"February 24","1","327"
"February 24","2","279"
"February 24","3","287"
"February 24","4","331"
"February 24","5","493"
"February 24","6","757"
"February 24","7","952"
"February 24","8","1012"
"February 24","9","1126"
"February 24","10","1154"
"February 24","11","1137"
"February 24","12","1260"
"February 24","13","1256"
"February 24","14","1195"
"February 24","15","1201"
"February 24","16","1207"
"February 24","17","1185"
"February 24","18","1133"
"February 24","19","1186"
"February 24","20","1231"
"February 24","21","1022"
"February 24","22","789"
"February 24","23","541"
"February 25","0","423"
"February 25","1","340"
"February 25","2","287"
"February 25","3","289"
"February 25","4","373"
"February 25","5","512"
"February 25","6","764"
"February 25","7","926"
"February 25","8","1001"
"February 25","9","1073"
"February 25","10","1124"
"February 25","11","1169"
"February 25","12","1142"
"February 25","13","1191"
"February 25","14","1213"
"February 25","15","1203"
"February 25","16","1196"
"February 25","17","1153"
"February 25","18","1122"
"February 25","19","1141"
"February 25","20","1219"
"February 25","21","988"
"February 25","22","778"
"February 25","23","556"
"February 26","0","406"
"February 26","1","324"
"February 26","2","287"
"February 26","3","284"
"February 26","4","365"
"February 26","5","563"
"February 26","6","732"
"February 26","7","936"
"February 26","8","1061"
"February 26","9","1087"
"February 26","10","1112"
"February 26","11","1139"
"February 26","12","1161"
"February 26","13","1221"
"February 26","14","1205"
"February 26","15","1224"
"February 26","16","1171"
"February 26","17","1135"
"February 26","18","1184"
"February 26","19","1176"
"February 26","20","1172"
"February 26","21","1000"
"February 26","22","794"
"February 26","23","560"
"February 27","0","425"
"February 27","1","342"
"February 27","2","310"
"February 27","3","305"
"February 27","4","319"
"February 27","5","578"
"February 27","6","766"
"February 27","7","950"
"February 27","8","1023"
"February 27","9","1061"
"February 27","10","1122"
"February 27","11","1151"
"February 27","12","1209"
"February 27","13","1180"
"February 27","14","1171"
"February 27","15","1160"
"February 27","16","1118"
"February 27","17","1114"
"February 27","18","0"
"February 27","19","0"
"February 27","20","0"
"February 27","21","0"
"February 27","22","0"
"February 27","23","0"